iter	Logloss
0	0.5820668858
1	0.5145166912
2	0.4698618782
3	0.447796858
4	0.4267789639
5	0.4043952274
6	0.3869350428
7	0.3748694042
8	0.3673619915
9	0.360259346
10	0.3553497477
11	0.3512852016
12	0.3449347428
13	0.3404520366
14	0.3341315792
15	0.3277428002
16	0.3236262753
17	0.3202147376
18	0.3175339696
19	0.3148277434
20	0.3123207295
21	0.3097070442
22	0.3075719938
23	0.305578041
24	0.3023430302
25	0.3000300662
26	0.2980413054
27	0.295447562
28	0.2923061837
29	0.289781352
30	0.2878711787
31	0.2853277915
32	0.2832559297
33	0.281068694
34	0.2787781499
35	0.2761852915
36	0.2752824196
37	0.2737678686
38	0.2724464531
39	0.2709193352
40	0.2692218557
41	0.2676273897
42	0.2655146706
43	0.2632754857
44	0.2615799828
45	0.2593510933
46	0.2573739555
47	0.2544090157
48	0.2528426335
49	0.2517630281
50	0.2506869921
51	0.249462041
52	0.2478197263
53	0.2460984847
54	0.2449144056
55	0.242990692
56	0.2414075834
57	0.2398536354
58	0.2387477604
59	0.2378214508
60	0.2369312491
61	0.2359262193
62	0.2339693773
63	0.2317716692
64	0.2302350081
65	0.2288992408
66	0.2273594675
67	0.2259953214
68	0.224203059
69	0.222297414
70	0.2212634448
71	0.2201890019
72	0.2188471135
73	0.2174089081
74	0.2163071335
75	0.2144988527
76	0.2133347745
77	0.2121476127
78	0.2101119471
79	0.2092346073
80	0.2080347901
81	0.2066441237
82	0.2056912938
83	0.2042670566
84	0.2022580294
85	0.2015495614
86	0.2004922578
87	0.1992994615
88	0.1972868206
89	0.1968422139
90	0.1957044643
91	0.1946615567
92	0.1934995877
93	0.1922401218
94	0.1910846871
95	0.1900975194
96	0.1890782116
97	0.1877568403
98	0.1870210997
99	0.1860967519
100	0.1849370102
101	0.1840840667
102	0.1829478806
103	0.181279193
104	0.1805511371
105	0.1799049728
106	0.1792075672
107	0.1784983322
108	0.1776702424
109	0.1767015711
110	0.1751880083
111	0.173479732
112	0.1726861569
113	0.1719226865
114	0.1704034008
115	0.1698990716
116	0.1689261524
117	0.1680389596
118	0.1670058459
119	0.166327748
120	0.1653312436
121	0.1642841618
122	0.1630277933
123	0.1626051492
124	0.1617432231
125	0.1605205877
126	0.160027498
127	0.1594714999
128	0.158776292
129	0.1581203337
130	0.1570905093
131	0.1560191933
132	0.1554271906
133	0.1544475012
134	0.1539011347
135	0.1531130172
136	0.1526779831
137	0.1517095921
138	0.1507001815
139	0.150340608
140	0.1498800419
141	0.1491584612
142	0.1484952754
143	0.1475061607
144	0.1469437169
145	0.1458996883
146	0.1454680467
147	0.1446479513
148	0.1436920092
149	0.1433083049
150	0.1423653427
151	0.1415048325
152	0.1409419462
153	0.1405630503
154	0.1400500482
155	0.1394677805
156	0.1392011905
157	0.1387297684
158	0.138139521
159	0.1376556057
160	0.1371805994
161	0.1363953138
162	0.136060476
163	0.1357327476
164	0.1347396356
165	0.1345178411
166	0.1340801669
167	0.1331046664
168	0.1326056767
169	0.1315995701
170	0.1311573528
171	0.1304928396
172	0.129705843
173	0.1291448889
174	0.1284528081
175	0.1280958158
176	0.1273421246
177	0.1270759623
178	0.1265687127
179	0.1254955972
180	0.1249640102
181	0.1243653406
182	0.1238030442
183	0.1233872736
184	0.1226315026
185	0.1221959449
186	0.1216640334
187	0.1209043389
188	0.1203356706
189	0.119578963
190	0.1188359876
191	0.1181407355
192	0.1170704152
193	0.1166751174
194	0.1161612303
195	0.1158227639
196	0.1153123136
197	0.1150377734
198	0.1144144124
199	0.1137125597
