iter	Passed	Remaining
0	5	1005
1	9	905
2	13	891
3	17	880
4	22	869
5	26	854
6	31	856
7	36	864
8	40	857
9	44	852
10	50	860
11	54	853
12	58	847
13	63	850
14	68	844
15	71	823
16	76	822
17	81	821
18	85	818
19	90	817
20	95	816
21	100	816
22	105	815
23	111	815
24	115	811
25	120	808
26	125	807
27	131	805
28	136	802
29	140	797
30	146	797
31	151	793
32	156	789
33	158	773
34	163	771
35	168	765
36	172	760
37	177	755
38	181	750
39	186	747
40	191	743
41	196	739
42	200	732
43	205	727
44	209	721
45	214	717
46	218	712
47	223	707
48	227	701
49	232	696
50	236	692
51	241	688
52	247	685
53	252	682
54	257	677
55	261	673
56	266	668
57	271	663
58	276	661
59	281	656
60	285	650
61	289	645
62	295	641
63	299	636
64	319	662
65	323	656
66	327	650
67	331	644
68	336	638
69	340	633
70	345	627
71	349	620
72	353	614
73	357	609
74	361	603
75	366	597
76	370	591
77	374	586
78	379	580
79	383	575
80	387	569
81	391	563
82	395	557
83	400	553
84	404	547
85	409	542
86	413	537
87	417	531
88	421	526
89	426	520
90	430	515
91	434	509
92	438	504
93	442	499
94	447	494
95	451	489
96	455	484
97	460	479
98	465	475
99	471	471
100	477	467
101	482	463
102	487	459
103	492	454
104	496	449
105	501	444
106	505	439
107	510	434
108	514	429
109	518	424
110	523	419
111	527	414
112	532	410
113	537	405
114	542	400
115	547	396
116	552	391
117	556	386
118	561	381
119	565	376
120	569	372
121	574	367
122	578	362
123	582	357
124	587	352
125	592	347
126	596	342
127	600	337
128	605	333
129	609	328
130	614	323
131	618	318
132	622	313
133	627	309
134	632	304
135	636	299
136	640	294
137	645	289
138	649	285
139	653	280
140	658	275
141	662	270
142	667	265
143	671	261
144	676	256
145	680	251
146	685	247
147	689	242
148	694	237
149	698	232
150	703	228
151	709	223
152	714	219
153	719	214
154	723	209
155	727	205
156	731	200
157	735	195
158	739	190
159	744	186
160	748	181
161	752	176
162	756	171
163	760	167
164	765	162
165	770	157
166	775	153
167	779	148
168	784	143
169	788	139
170	792	134
171	796	129
172	800	124
173	804	120
174	808	115
175	811	110
176	815	105
177	818	101
178	822	96
179	827	91
180	831	87
181	835	82
182	839	77
183	842	73
184	846	68
185	850	64
186	854	59
187	858	54
188	862	50
189	866	45
190	869	40
191	874	36
192	877	31
193	881	27
194	885	22
195	889	18
196	893	13
197	897	9
198	902	4
199	906	0
